Type of Revenue,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total revenue,"3,075,089,348","43,976,221","11,424,674","61,445,775","29,686,241","467,648,006","45,860,107","39,047,228","12,879,336","135,161,251","64,878,076","19,615,365","15,201,140","117,257,464","60,030,807","30,352,049","27,256,525","44,161,131","40,454,703","13,530,962","59,899,123","81,671,097","88,226,182","60,627,701","25,805,183","43,393,135","10,249,726","15,519,777","25,094,336","10,522,839","96,877,290","35,193,859","267,071,291","83,691,033","11,159,732","97,922,872","34,793,299","47,978,640","119,857,924","12,169,713","45,563,433","6,971,925","45,588,575","206,513,439","30,227,562","9,664,791","78,322,673","70,533,634","17,722,360","49,023,377","7,365,766"
  General revenue,"3,051,467,987","43,478,927","11,411,167","61,422,670","29,686,241","467,648,006","45,860,107","38,997,961","12,867,554","135,145,207","64,876,691","19,615,365","14,959,822","117,257,464","60,030,807","29,920,368","27,256,525","44,161,127","40,443,038","13,274,804","59,842,387","81,037,723","86,637,770","60,594,556","25,287,918","43,393,104","10,107,651","15,519,777","25,053,780","9,766,020","96,227,933","35,193,859","259,271,886","83,688,564","11,159,732","96,202,106","33,885,042","47,150,807","117,452,377","12,151,840","43,632,096","6,968,459","45,588,575","206,513,439","29,730,679","9,564,103","77,172,602","70,533,634","17,590,728","49,023,377","7,211,612"
    Intergovernmental revenue,"1,131,663,901","18,888,889","5,734,271","30,803,734","12,489,227","135,063,522","16,065,607","12,159,819","4,158,575","54,875,559","23,510,515","5,518,181","5,363,468","43,102,366","24,537,146","10,301,613","8,230,581","20,539,576","21,088,889","5,450,862","22,907,140","26,326,624","34,299,862","20,184,883","11,431,538","20,653,471","4,318,132","6,102,084","9,543,112","4,411,748","29,468,093","12,989,889","101,894,490","32,458,116","2,525,962","40,558,394","14,655,958","17,781,001","45,307,160","5,422,624","17,631,339","3,483,768","18,130,559","83,571,118","8,707,234","4,139,520","22,523,231","24,294,407","8,054,206","16,450,672","3,555,166"
    Total Taxes,"1,473,561,604","16,324,900","2,941,280","24,410,195","12,768,129","283,275,754","22,089,402","22,774,523","6,310,891","59,251,311","33,933,816","10,279,504","7,710,289","62,571,178","29,092,294","12,908,955","12,592,576","16,546,544","14,484,028","6,439,268","29,361,279","43,492,334","37,056,989","34,911,881","10,218,769","16,887,389","4,638,060","7,475,982","13,818,086","3,510,760","52,771,929","12,188,112","132,076,079","38,479,120","5,350,784","37,388,627","13,188,031","18,882,848","53,700,114","4,833,177","16,150,255","2,475,394","22,650,165","81,763,085","13,491,108","4,416,004","36,754,617","36,071,826","7,049,142","23,363,814","2,441,007"
      Property Taxes,"21,596,864","495,753","125,219","1,254,846","1,318,147","2,986,154",,,,0,"799,564",,,"68,795","15,898","2,110","841,790","725,415","94,860","45,023","930,810","12,996","2,535,211","773,877","29,025","39,591","359,844",122,"1,399,442","406,541","5,068","116,584",,,"5,322",,,"22,884","39,729","4,135","86,957",,,,,"1,235,599","54,712","4,399,803","7,908","88,838","268,292"
      Sales and Gross Receipts Taxes,"623,441,257","7,540,587","270,644","13,616,707","6,216,131","72,026,518","7,856,911","8,327,840","644,552","47,015,449","11,405,066","5,647,969","3,594,947","25,865,408","14,914,925","5,807,099","5,539,663","7,718,476","7,741,107","2,974,225","12,139,837","11,767,883","17,017,985","12,092,155","6,280,106","6,462,312","867,006","3,285,152","10,504,515","956,510","19,740,884","4,366,174","30,738,471","16,349,369","1,586,316","24,014,162","5,348,189","3,878,042","25,727,120","2,361,483","7,087,474","2,067,055","16,585,002","66,917,512","5,257,859","1,391,177","12,931,327","26,739,775","3,200,985","9,877,449","1,177,747"
        General Sales and Gross Receipts Taxes,"431,181,558","4,329,546",,"11,448,991","4,587,956","52,228,035","4,286,196","5,193,413",,"37,841,294","8,320,361","4,268,067","2,904,133","15,289,031","10,388,976","4,235,827","4,269,472","5,162,018","4,748,279","2,171,258","6,638,205","8,716,276","12,204,862","7,287,411","4,770,468","4,553,244",,"2,635,775","7,501,390",,"14,178,031","3,470,245","17,607,827","11,039,816","1,074,703","15,640,329","3,546,080","1,216,538","14,760,853","1,499,910","4,876,547","1,524,337","12,887,107","48,866,003","4,280,780","545,564","7,097,323","21,477,182","1,655,483","6,978,336","978,080"
        Selective Sales and Gross Receipts Taxes,"192,259,699","3,211,041","270,644","2,167,716","1,628,175","19,798,483","3,570,715","3,134,427","644,552","9,174,155","3,084,705","1,379,902","690,814","10,576,377","4,525,949","1,571,272","1,270,191","2,556,458","2,992,828","802,967","5,501,632","3,051,607","4,813,123","4,804,744","1,509,638","1,909,068","867,006","649,377","3,003,125","956,510","5,562,853","895,929","13,130,644","5,309,553","511,613","8,373,833","1,802,109","2,661,504","10,966,267","861,573","2,210,927","542,718","3,697,895","18,051,509","977,079","845,613","5,834,004","5,262,593","1,545,502","2,899,113","199,667"
          Alcoholic Beverages Sales Tax,"8,201,485","271,442","42,032","88,925","75,051","432,629","55,555","71,123","30,911","359,022","228,617","53,981","10,557","320,000","53,718","22,218","163,962","186,487","79,331","18,464","36,930","97,643","219,449","105,074","42,938","47,193","48,267","34,574","51,794","13,100","175,890","21,719","303,926","561,333","9,800","120,832","171,393","19,711","458,047","23,324","222,505","21,322","292,498","1,655,325","18,394","12,064","274,380","481,287","20,775","73,769","2,204"
          Amusements Sales Tax,"10,555,314",0,"6,805","8,198","85,468",0,"153,595","160,237",0,"178,210",,0,0,"1,258,697","556,299","373,500",291,136,"760,972","68,073","1,194,074","301,510","285,629","201,832","205,119","390,854","123,282","7,613","1,356,309","24,323","386,996","69,276","1,452",6,"23,928","334,176","30,878","12,427","1,758,352","20,385","53,981","12,323","46,079","17,720",0,0,"37,153","4,432","39,214",108,"5,402"
          Insurance Premiums Sales Tax,"28,445,458","513,226","68,590","732,224","345,234","3,319,048","338,355","204,701","146,051","1,571,412","482,092","201,859","137,183","491,053","257,529","152,546","466,396","179,015","1,080,293","136,120","791,320","587,997","398,371","718,431","383,652","465,920","153,056","78,815","518,019","136,733","747,723","235,866","2,230,150","1,003,553","75,216","675,158","349,723","85,403","913,085","159,708","289,114","97,571","1,223,183","3,121,923","189,609","68,799","683,923","823,878","135,847","247,174","33,611"
          Motor Fuels Sales Tax,"54,783,095","949,982","45,078","792,145","606,201","8,638,712","665,944","468,035","134,474","3,111,445","1,602,054","81,845","412,051","2,527,365","1,658,104","701,213","466,589","728,190","650,966","246,951","1,113,264","722,788","1,416,157","900,563","449,230","803,261","292,452","384,474","377,553","180,010","414,269","266,949","1,529,389","2,214,143","179,821","2,710,980","600,189","600,717","3,180,204","138,906","944,249","201,021","1,274,055","3,783,904","581,850","121,774","1,596,148","1,598,550","419,593","1,179,935","119,353"
          Pari-mutuels Sales Tax,"176,649","5,221",,186,"1,858","18,244",373,"5,708",62,"12,311",0,0,"1,447","7,668","1,696","3,947",0,"47,733","5,727","1,911","1,124","1,080","2,924","1,906",184,0,169,175,3,497,0,"1,184","13,906",,"1,579","3,987","1,105","3,156","8,690",515,0,113,0,"5,059",0,0,"1,543","1,285","2,937",0,"9,436"
          Public Utilities Sales Tax,"12,402,957","702,352","4,291","22,149",0,"741,713",0,"246,437","43,826","1,799,972",0,"122,068","1,619","1,257,528","218,703","71,453",349,"77,310","11,299","21,784","141,835",0,"42,928","87,276","1,786",0,"39,067","59,836","49,872","29,079","949,949","35,695","798,591",295,"35,122","1,017,791","55,280","22,101","1,026,909","90,447","29,128","4,024","6,506","748,572","61,486","9,705","491,211","725,502","111,101","384,026","4,984"
          Tobacco Products Sales Tax,"18,382,215","156,313","48,924","287,427","223,936","1,853,535","352,438","294,649","115,332","1,048,913","238,574","91,658","45,499","841,366","387,364","190,402","119,585","374,873","258,537","141,941","479,132","390,686","805,030","610,055","136,113","96,111","74,249","52,147","179,824","182,626","566,185","101,968","952,038","295,188","24,677","885,881","441,544","459,571","1,223,160","149,746","126,620","54,385","228,231","1,210,716","109,658","75,991","278,758","353,075","165,066","580,949","21,569"
          Other Selective Sales and Gross Receipts Taxes,"59,312,526","612,505","54,924","236,462","290,427","4,794,602","2,004,455","1,683,537","173,896","1,092,870","533,368","828,491","82,458","3,872,700","1,392,536","55,993","53,019","962,714","145,703","167,723","1,743,953","949,903","1,642,635","2,179,607","290,616","105,729","136,464","31,743","469,751","390,142","2,321,841","163,272","7,301,192","1,235,035","161,470","2,625,028","151,997","1,458,418","2,397,820","278,542","545,330","151,959","627,343","7,508,290","16,082","557,280","2,470,888","1,274,584","650,969","433,152","3,108"
      License Taxes,"66,977,804","596,971","100,388","637,701","447,288","13,421,400","731,202","383,935","2,437,040","2,259,620","743,492","310,983","471,370","3,546,164","871,383","1,135,112","436,528","551,706","638,392","317,257","1,008,665","1,299,106","2,240,237","1,474,333","609,768","675,239","499,840","204,270","748,245","545,704","2,187,730","324,498","1,897,723","2,662,895","198,784","2,065,666","1,173,638","1,345,589","2,935,224","180,309","678,982","337,471","2,517,390","3,866,304","387,595","143,636","1,090,979","1,909,969","176,736","1,336,599","216,748"
        Alcoholic Beverages License,"839,726","4,102","1,397","11,769","7,146","88,240","6,263","9,924","2,566","10,677","4,717",0,"2,279","20,395","32,131","22,017","3,951","8,027",0,"7,465","1,174","4,313","18,643","3,336","1,425","6,126","5,571","1,344",0,"5,613","4,515",0,"80,256","31,434",410,"49,013",158,"5,637","30,134","1,412","13,717","1,537","1,842","104,801",0,491,"16,474","203,169","1,763","2,352",0
        Amusements License,"663,895",0,0,6,"1,058","20,273",978,161,434,"3,460",0,0,179,"28,868","8,140","28,780","7,704",300,0,901,"1,964","13,153",0,"8,213","18,549",22,"4,628",554,"95,820",328,"54,590","2,175",0,100,"2,533","39,699","193,315","1,448","37,058",265,"6,344","5,473",308,"13,899",0,21,"37,206","20,573","3,215",68,"1,132"
        Corporations in General License,"8,847,979","207,653",0,"20,463","42,395","91,871","24,014","36,591","2,210,216","278,526","55,673","2,415","6,128","342,853","11,747","79,982","14,870","121,266","389,642","13,011","140,820","28,332","34,998","16,259","220,789",0,"7,694","14,009","92,114","84,348","719,362","2,212",385,"1,012,972",0,"234,925","62,716","42,949","2,984","8,873","163,072","8,059","1,535,207","276,856",423,"3,292","78,259","54,390","1,079","29,726","21,559"
        Hunting and Fishing License,"1,896,914","26,159","38,378","48,015","30,397","115,196","119,501","5,333","4,766","19,374","28,735",878,"56,329","43,522","21,961","35,356","34,658","31,953","34,505","19,167","18,175","6,330","66,902","103,313","3,186","40,878","77,246","19,498","13,137","12,726","14,272","29,415","57,097","43,796","18,191","45,413","26,106","59,255","83,635","2,176","23,734","37,940","43,126","117,390","33,955","8,061","26,942","43,606",29,"64,890","42,311"
        Motor Vehicle License,"32,547,913","239,930","29,432","319,215","189,242","7,588,888","436,209","248,460","59,629","1,510,808","413,341","219,306","229,108","2,268,984","356,767","770,930","243,464","224,860","80,086","121,049","503,958","452,807","1,498,851","926,172","179,589","317,073","195,703","118,247","223,192","116,455","662,194","223,076","1,419,966","987,546","116,140","508,070","863,147","895,677","1,250,825","32,582","295,330","93,882","398,576","2,262,141","254,894","74,974","471,211","834,226","5,059","715,639","101,003"
        Motor Vehicle Operators License,"3,149,736","35,999",0,"37,560","19,158","384,578","47,673","59,890","5,902","182,189","123,174",369,"10,526","191,480","270,819","17,039","29,748","28,500","11,775","13,598","33,538","84,265","66,444","51,328","17,527","15,922","9,732","11,357","26,613","15,201","58,724","13,550","178,338","118,066","3,905","92,224","26,434","58,248","119,658","8,554","4,723","6,145","35,625","180,069","30,838","13,796","78,868","128,448","146,854","39,527","5,238"
        Public Utilities License,"1,158,761","12,792","8,103",30,"8,940","569,181","16,545",578,700,"38,632",,"15,153","64,442","23,302",0,"11,841","6,522",0,"7,406",0,,0,"32,696","7,297","6,579","18,442",5,0,0,"20,912","20,961","1,856","16,103","18,969",2,"2,801",5,"13,899","78,104",244,"14,713",0,"6,099","22,507",0,0,716,"23,093",391,"68,200",0
"        Occupation and Business License, NEC","15,895,216","70,335","14,095","198,323","147,819","4,500,750","79,989","18,334","140,463","202,755","85,652","57,933","97,555","604,295","62,918","162,295","92,717","134,556","109,448","128,544","307,187","418,163","292,138","273,841","98,567","182,212","183,629","38,055","288,318","250,192","651,094","52,214","143,889","402,182","57,603","957,708",909,"259,691","1,311,567","86,715","140,838","151,748","486,472","702,749","60,064","32,898","313,906","426,738","13,830","355,818","45,505"
        Other License Taxes,"1,977,664",1,"8,983","2,320","1,133","62,423",30,"4,664","12,364","13,199","32,200","14,929","4,824","22,465","106,900","6,872","2,894","2,244","5,530","13,522","1,849","291,743","229,565","84,574","63,557","94,564","15,632","1,206","9,051","39,929","2,018",0,"1,689","47,830",0,"135,813",848,"8,785","21,259","39,488","16,511","32,687","10,135","185,892","7,421","10,103","67,397","175,726","4,516","60,379",0
      Income Taxes,"704,536,263","7,552,679","413,175","8,693,348","4,544,583","192,195,516","13,194,479","13,507,239","2,903,928","3,780,770","20,796,528","4,074,729","3,635,505","32,327,125","13,288,580","5,834,787","5,704,392","7,349,096","5,518,637","3,006,721","14,370,565","29,000,910","14,674,116","19,860,533","3,248,506","9,694,630","2,678,206","3,954,644",,"1,366,620","29,290,446","2,662,951","94,422,571","19,303,124","702,126","11,247,715","4,969,501","13,261,860","22,389,126","2,227,453","8,059,011","61,818","3,008,777",,"7,747,848","1,508,701","21,711,446",0,"2,869,144","11,922,098",
        Individual Income Taxes,"555,886,526","6,089,061",,"7,529,879","3,717,880","146,190,014","11,685,999","9,861,264","2,405,043",,"18,286,845","3,759,856","2,594,552","22,697,437","11,749,037","4,974,623","4,836,130","6,180,726","4,478,708","2,590,903","12,228,623","24,399,902","12,879,815","15,130,683","2,537,787","8,942,661","2,387,008","3,239,491",,"153,620","20,630,297","2,172,165","70,737,342","17,672,005","472,925","11,246,994","4,157,808","11,772,886","17,381,999","1,939,003","6,854,835",,"9,480",,"6,812,367","1,268,299","19,732,749",0,"2,502,828","8,994,997",
        Corporations Net Income Taxes,"148,649,737","1,463,618","413,175","1,163,469","826,703","46,005,502","1,508,480","3,645,975","498,885","3,780,770","2,509,683","314,873","1,040,953","9,629,688","1,539,543","860,164","868,262","1,168,370","1,039,929","415,818","2,141,942","4,601,008","1,794,301","4,729,850","710,719","751,969","291,198","715,153",,"1,213,000","8,660,149","490,786","23,685,229","1,631,119","229,201",721,"811,693","1,488,974","5,007,127","288,450","1,204,176","61,818","2,999,297",,"935,481","240,402","1,978,697",,"366,316","2,927,101",
      Other Taxes,"57,009,416","138,910","2,031,854","207,593","241,980","2,646,166","306,810","555,509","325,371","6,195,472","189,166","245,823","8,467","763,686","1,508","129,847","70,203","201,851","491,032","96,042","911,402","1,411,439","589,440","710,983","51,364","15,617","233,164","31,794","1,165,884","235,385","1,547,801","4,717,905","5,017,314","163,732","2,858,236","61,084","1,696,703","374,473","2,608,915","59,797","237,831","9,050","538,996","10,979,269","97,806","136,891","966,153","3,022,279","794,369","138,830","778,220"
        Death and Gift Taxes,"6,738,871",0,0,0,0,64,0,"220,117",4,0,0,"57,405",0,"641,815",25,"91,826",0,"82,953",0,"34,183","265,493","868,444",6,"212,421",0,49,0,0,0,0,"599,428",0,"1,386,153",213,0,58,1,"350,592","1,502,404","39,302",0,0,640,,0,"13,997",29,"371,246",0,3,0
        Documentarty and Stock Transfer Taxes,"18,125,536","78,057",,0,"87,752",0,0,"334,996","324,273","6,166,778",0,"188,418",0,"121,871",,"38,021",0,"9,879",0,"61,859","357,373","542,995","542,386","393,946",0,"15,496",0,"27,151","191,497","235,385","948,373",0,"1,857,055","161,795",0,0,"37,756","3,859","1,042,331","20,495","237,831",195,"522,660",,0,"113,493","853,896","2,468,426","17,856","121,382",0
        Severance Taxes,"25,818,967","60,853","2,031,854","37,355","84,054","128,600","306,810",0,0,"28,694",,0,"5,828",0,"1,483",,"70,203","109,019","491,032",,,,"46,951","104,616","51,364",0,"227,029","4,643","218,715",,,"4,670,918",,"1,724","2,858,236","61,026","1,529,945","16,484",0,,,"8,035",826,"10,979,269","97,393",,"3,831","41,103","768,794","1,793","770,487"
"        Taxes, NEC","6,326,042",0,0,"170,238","70,174","2,517,502",0,396,"1,094",0,"189,166",0,"2,639",0,0,0,0,0,0,0,"288,536",0,97,0,0,72,"6,135",0,"755,672",0,0,"46,987","1,774,106",0,0,0,"129,001","3,538","64,180",0,0,820,"14,870",0,413,"9,401","108,397","141,504","7,719","15,652","7,733"
    Current charge,"270,260,559","6,671,127","639,861","3,676,220","3,083,329","34,016,658","5,139,713","2,722,337","1,142,172","10,006,320","4,667,508","1,863,281","1,225,688","5,783,747","3,935,001","4,921,329","5,119,708","5,337,935","2,312,985","964,921","4,559,050","5,975,779","11,182,437","2,924,792","2,647,485","3,458,401","582,037","1,095,957","890,535","885,395","7,744,900","3,890,395","12,631,524","7,713,471","975,874","10,988,227","3,059,293","6,856,075","14,591,460","1,178,029","7,238,237","348,829","2,271,048","20,435,137","6,241,602","626,041","11,572,856","7,003,276","1,730,818","5,445,820","285,939"
    Miscellaneous general revenue,"175,981,923","1,594,011","2,095,755","2,532,521","1,345,556","15,292,072","2,565,385","1,341,282","1,255,916","11,012,017","2,764,852","1,954,399","660,377","5,800,173","2,466,366","1,788,471","1,313,660","1,737,072","2,557,136","419,753","3,014,918","5,242,986","4,098,482","2,573,000","990,126","2,393,843","569,422","845,754","802,047","958,117","6,243,011","6,125,463","12,669,793","5,037,857","2,307,112","7,266,858","2,981,760","3,630,883","3,853,643","718,010","2,612,265","660,468","2,536,803","20,744,099","1,290,735","382,538","6,321,898","3,164,125","756,562","3,763,071","929,500"
  Utility revenue,"12,214,520",,"13,507","23,105",0,0,,"49,267","11,782","16,044","1,385",,,,,,,4,"11,665","9,191","56,736","633,374",674,"33,145",,31,,,"40,556",,"649,357",0,"7,799,405","2,469",0,,"908,257",3,,"17,873","1,931,337","3,466",,,0,,0,0,"1,423",0,464
  Liquor stores revenue,"11,406,841","497,294",,,,,,,,,,0,"241,318",,,"431,681",,,,"246,967",,,"1,587,738",,"517,265",,"142,075",,,"756,819",,,,,,"1,720,766",,"827,830","2,405,547",,,,,,"496,883","100,688","1,150,071",0,"130,209",,"153,690"
  Insurance trust revenue,"410,956,921","4,021,568","1,148,892","7,545,755","1,854,860","98,117,478","6,094,959","8,566,380","779,641","13,785,919","8,043,818","2,218,105","1,595,499","28,283,811","6,768,248","3,025,852","3,357,204","5,733,696","5,166,615","1,234,968","9,080,453","11,264,071","8,946,195","6,560,777","2,605,108","4,824,497","952,054","729,740","2,934,764","1,213,143","14,836,361","2,468,330","29,130,781","5,909,615","770,073","19,410,309","2,981,980","9,244,727","14,433,566","1,376,787","4,341,565","591,567","915,474","19,251,979","2,419,732","460,484","6,166,653","12,173,948","1,255,030","5,276,270","1,087,616"